aid,sid,title,path,url,uid,timer,timestamp
37817,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,67,1650973743
37759,z-qSgylA9-UoL2wMTI-zPcVsRv0dvWg12Fo3WCP2h_o,Vlag,flag/flag/stop_met_oefenen/7355,http://leen.wiski.be/node/7355/take/2,2031,56,1650973691
37706,Q7VfJRLZIckdTDwfqwnQr2Y4gJWhlwfyC5pq19Kjm4Q,Vlag,flag/flag/stop_met_oefenen/7360,https://leen.wiski.be/node/7360/take/1,2026,56,1650973641
37604,Q7VfJRLZIckdTDwfqwnQr2Y4gJWhlwfyC5pq19Kjm4Q,Vlag,flag/flag/stop_met_oefenen/7374,https://leen.wiski.be/node/7374/take/1,2026,64,1650973561
37492,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7360,https://leen.wiski.be/node/7360/take/1,2018,60,1650973479
37457,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7360,https://leen.wiski.be/node/7360/take/1,2018,61,1650973462
37121,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7366,https://leen.wiski.be/node/7366/take/1,2018,62,1650973213
37034,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2018,60,1650973164
37005,udGwCrA4yQsSi8n495yM8YHjLE_ce3BS5Qh7tRi21Mo,Vlag,flag/flag/stop_met_oefenen/7374,https://leen.wiski.be/node/7374/take/2,2018,70,1650973144
36902,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,62,1650973076
36854,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,72,1650973054
36799,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,62,1650972938
36539,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,60,1650972652
36526,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,60,1650972635
36456,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2030,59,1650972548
36399,oErpR6bh5X8Lx1fVGTPwoquo_QwHg8_O_HgCKBI5m9k,Vlag,flag/flag/stop_met_oefenen/7365,https://leen.wiski.be/node/7365/take/1,2032,60,1650972516
36395,xUju8aNOlUVIfR7Mts9LlNe7cNYwneFAR5wm-WEjQc4,Vlag,flag/flag/stop_met_oefenen/7374,https://leen.wiski.be/node/7374/take/2,2030,56,1650972513
36337,fxCrueKuhd5IAH5D9uEbByGSg4TacAylbGgw7bv2gUU,Vlag,flag/flag/stop_met_oefenen/7374,https://leen.wiski.be/node/7374/take/1,2019,74,1650972491
36146,n_9EgKC_XYbYs61APJvItDc_q8AlJMIrofR78NhrHF0,Vlag,flag/flag/stop_met_oefenen/7355,http://leen.wiski.be/node/7355/take/1,2015,62,1650972301
36131,n_9EgKC_XYbYs61APJvItDc_q8AlJMIrofR78NhrHF0,Vlag,flag/flag/stop_met_oefenen/7378,http://leen.wiski.be/node/7378/take/1,2015,67,1650972282
36103,n_9EgKC_XYbYs61APJvItDc_q8AlJMIrofR78NhrHF0,Vlag,flag/flag/stop_met_oefenen/7355,http://leen.wiski.be/node/7355/take/1,2015,68,1650972236
36003,n_9EgKC_XYbYs61APJvItDc_q8AlJMIrofR78NhrHF0,Vlag,flag/flag/stop_met_oefenen/7360,http://leen.wiski.be/node/7360/take/1,2015,60,1650972151
35993,n_9EgKC_XYbYs61APJvItDc_q8AlJMIrofR78NhrHF0,Vlag,flag/flag/stop_met_oefenen/7355,http://leen.wiski.be/node/7355/take/1,2015,78,1650972133
35981,n_9EgKC_XYbYs61APJvItDc_q8AlJMIrofR78NhrHF0,Vlag,flag/flag/stop_met_oefenen/7374,http://leen.wiski.be/node/7374/take/1,2015,57,1650972124
35976,oldqUqliRxpiHajltXdI9JWzLwQxtTTzb-fi6hiISj8,Vlag,flag/flag/stop_met_oefenen/7355,https://leen.wiski.be/node/7355/take/1,2025,85,1650972111
35970,n_9EgKC_XYbYs61APJvItDc_q8AlJMIrofR78NhrHF0,Vlag,flag/flag/stop_met_oefenen/7379,http://leen.wiski.be/node/7379/take/2,2015,70,1650972110
35873,n_9EgKC_XYbYs61APJvItDc_q8AlJMIrofR78NhrHF0,Vlag,flag/flag/stop_met_oefenen/7379,http://leen.wiski.be/node/7379/take/1,2015,56,1650972004
35789,6GOb5rvk1vbcGP6Hltrp0Bwl0rniGELJivQ8hHbFQTg,Vlag,flag/flag/stop_met_oefenen/7365,https://leen.wiski.be/node/7365/take/1,2020,107,1650971916
34881,zB2AAdp7p7YfDsKxIjQ0OWUmW0AcH_gQC5ABfpEvoRo,Vlag,flag/flag/stop_met_oefenen/7287,http://leen.wiski.be/node/7287/take/1,1839,89,1650960199
34754,KiL2XHiyvkFlCRqLYMrTZPJEsXshNRn3KCz9B0bUHVk,Vlag,flag/flag/stop_met_oefenen/7287,http://leen.wiski.be/node/7287/take/1,1840,603,1650897664
34423,QtSlg8T7HCDZY7y_BvkRj2Y6H7fh9Sk03F_IymuPoKg,Vlag,flag/flag/stop_met_oefenen/7287,http://leen.wiski.be/node/7287/take/1,1840,85,1650876699
34164,xzgqAbhyZh8KFA5mnQorR9I_LUh7av3QjtXW_ZRyrdA,Vlag,flag/flag/stop_met_oefenen/7323,http://leen.wiski.be/node/7323/take/1,1986,66,1650620096
34159,xzgqAbhyZh8KFA5mnQorR9I_LUh7av3QjtXW_ZRyrdA,Vlag,flag/flag/stop_met_oefenen/7330,http://leen.wiski.be/node/7330/take/1,1986,53,1650620086
34152,xzgqAbhyZh8KFA5mnQorR9I_LUh7av3QjtXW_ZRyrdA,Vlag,flag/flag/stop_met_oefenen/7357,http://leen.wiski.be/node/7357/take/1,1986,74,1650620061
34145,xzgqAbhyZh8KFA5mnQorR9I_LUh7av3QjtXW_ZRyrdA,Vlag,flag/flag/stop_met_oefenen/7310,http://leen.wiski.be/node/7310/take/1,1986,66,1650620033
34117,#NAME?,Vlag,flag/flag/stop_met_oefenen/7298,http://leen.wiski.be/node/7298/take/1,1985,60,1650619913
34098,xzgqAbhyZh8KFA5mnQorR9I_LUh7av3QjtXW_ZRyrdA,Vlag,flag/flag/stop_met_oefenen/7298,http://leen.wiski.be/node/7298/take/1,1986,73,1650619818
34057,gEU4tqUQuN_yKDCteHJB8tkiir2yCknf6EQzQvSlyYs,Vlag,flag/flag/stop_met_oefenen/7331,http://leen.wiski.be/node/7331/take/1,1988,99,1650619686
33923,gEU4tqUQuN_yKDCteHJB8tkiir2yCknf6EQzQvSlyYs,Vlag,flag/flag/stop_met_oefenen/7330,http://leen.wiski.be/node/7330/take/1,1988,67,1650619190
